email,prenom,nom,entreprise,segment,source,base_legale,domaine_site,opt_in_pending,notes
info@swissborg.com,,,SwissBorg,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,swissborg.com,yes,Crypto wealth management
info@wefox.com,,,Wefox,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,wefox.com,yes,Insurtech europeen base CH
info@advanon.com,,,Advanon,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,advanon.com,yes,Plateforme financement factures PME
info@aktionariat.com,,,Aktionariat,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,aktionariat.com,yes,Tokenisation actions PME suisses
info@amnistreasury.com,,,Amnis,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,amnistreasury.com,yes,Cross-border payments PME suisses - cible angle
info@evorest.ch,,,Evorest,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,evorest.ch,yes,Pillar 3a digital
info@gentwo.com,,,GenTwo,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,gentwo.com,yes,Securitization platform
info@neon-free.ch,,,Neon,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,neon-free.ch,yes,Neobank ZH - reseau de partenaires
info@neur-on.ai,,,Neuron,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,neur-on.ai,yes,AI banking automation
info@opercredits.com,,,Oper Credits,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,opercredits.com,yes,Mortgage tech
info@pelt8.com,,,Pelt8,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,pelt8.com,yes,ESG reporting - cible donnees federales/cantonales
info@relio.ch,,,Relio,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,relio.ch,yes,Compte business pour startups
info@selma.com,,,Selma Finance,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,selma.com,yes,Robo-advisor ZH grand public
info@unique.ai,,,Unique,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,unique.ai,yes,AI agent banking
info@viac.ch,,,VIAC,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,viac.ch,yes,Pillar 3a 100 percent digital - cible majeure
info@yuh.com,,,Yuh,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,yuh.com,yes,Joint Swissquote/PostFinance - banque mobile
info@truewealth.ch,,,True Wealth,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,truewealth.ch,yes,Premier robo-advisor suisse
info@bitcoinsuisse.com,,,Bitcoin Suisse,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,bitcoinsuisse.com,yes,Crypto financial services Zug
info@sygnum.com,,,Sygnum Bank,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,sygnum.com,yes,Digital asset bank ZH/Singapour
info@taurushq.com,,,Taurus,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,taurushq.com,yes,Digital asset infrastructure GE
info@metaco.com,,,Metaco,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,metaco.com,yes,Custody crypto institutionnel - VD
info@dfinity.org,,,DFINITY,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,dfinity.org,yes,Internet Computer ZH - data infra
info@web3.foundation,,,Web3 Foundation,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,web3.foundation,yes,Polkadot ecosystem Zug
info@knip.com,,,Knip,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,knip.com,yes,Mobile insurance manager
info@smartie.ch,,,Smartie,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,smartie.ch,yes,Comparateur assurances Suisse
info@anivo.ch,,,Anivo,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,anivo.ch,yes,Conseil assurance digital Zug
info@financefox.ch,,,FinanceFox,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,financefox.ch,yes,Insurance digital ZH
info@aaaccell.com,,,AAAccell,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,aaaccell.com,yes,AI risk asset management
info@algotrader.com,,,AlgoTrader,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,algotrader.com,yes,Algorithmic trading software ZH
info@clevercircles.ch,,,Clevercircles,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,clevercircles.ch,yes,Robo-advisor social par Bank CIC
info@descartes.finance,,,Descartes Finance,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,descartes.finance,yes,Wealth manager digital ZH
info@nviso.ai,,,NVISO,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,nviso.ai,yes,AI human behavior visual
info@simplewealth.ch,,,Simplewealth,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,simplewealth.ch,yes,Investment platform ZH
info@meetinvest.com,,,Meetinvest,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,meetinvest.com,yes,B2B2C investment Baar
info@whitebox.eu,,,Whitebox,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,whitebox.eu,yes,Robo-advisor digital
info@finfox.com,,,Finfox,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,finfox.com,yes,Investment advisory tech
info@polixis.com,,,Polixis,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,polixis.com,yes,AML KYC regtech - cible directe
info@fiat24.com,,,Fiat24,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,fiat24.com,yes,Crypto-fiat banking FINMA
info@mtpelerin.com,,,Mt Pelerin,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,mtpelerin.com,yes,Bridge crypto-fiat GE
info@nexo.com,,,Nexo,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,nexo.com,yes,Digital asset finance ZG
info@1875.ch,,,1875 Finance,wealth_management,alliancefinance,interet_legitime_B2B_email_public,1875.ch,yes,Multi-Family Office GE - cible directe ETL federal
info@emcge.com,,,EMC Gestion de Fortune,wealth_management,alliancefinance,interet_legitime_B2B_email_public,emcge.com,yes,Top 50 GFI Suisse Citywire
info@vermoegenszentrum.ch,,,VZ VermoegensZentrum,wealth_management,alliancefinance,interet_legitime_B2B_email_public,vermoegenszentrum.ch,yes,Wealth manager national multi-bureau
info@rescadsa.ch,,,RESCAD,wealth_management,alliancefinance,interet_legitime_B2B_email_public,rescadsa.ch,yes,GFI independant 2 bureaux Suisse
info@probuspleion.ch,,,Probus Pleion Suisse,wealth_management,alliancefinance,interet_legitime_B2B_email_public,probuspleion.ch,yes,Wealth manager 7 bureaux Suisse
info@bt-finance.com,,,BT Finance,wealth_management,alliancefinance,interet_legitime_B2B_email_public,bt-finance.com,yes,Wealth manager prive entre GE et ZH 1998
info@zugerberg-finanz.ch,,,Zugerberg Finanz,wealth_management,alliancefinance,interet_legitime_B2B_email_public,zugerberg-finanz.ch,yes,Best asset manager Suisse Bilanz 2023
info@grolimund-finanzinvest.ch,,,Grolimund Finanzinvest,wealth_management,alliancefinance,interet_legitime_B2B_email_public,grolimund-finanzinvest.ch,yes,Wealth manager ZH - membre comite Alliance Finance
info@ecofin.ch,,,Groupe Ecofin,wealth_management,alliancefinance,interet_legitime_B2B_email_public,ecofin.ch,yes,Cabinet conseil financier ZH - membre comite Alliance Finance
info@treuhandsuisse.ch,,,TREUHAND SUISSE,wealth_management,alliancefinance,interet_legitime_B2B_email_public,treuhandsuisse.ch,yes,Federation fiduciaires Reinach BL
info@1788capital.ch,,,1788 Capital,wealth_management,alliancefinance,interet_legitime_B2B_email_public,1788capital.ch,yes,Wealth manager GE membre SAM
info@1959advisors.ch,,,1959 Advisors,wealth_management,alliancefinance,interet_legitime_B2B_email_public,1959advisors.ch,yes,Wealth manager Tannay membre SAM
info@3tfo.ch,,,3T Family Office,wealth_management,alliancefinance,interet_legitime_B2B_email_public,3tfo.ch,yes,Family office GE membre SAM
info@edmond-de-rothschild.com,,,Edmond de Rothschild Suisse,bank_private,alliancefinance,interet_legitime_B2B_email_public,edmond-de-rothschild.com,yes,Banque privee historique GE
info@vsv-asg.ch,,,VSV-ASG,wealth_management,alliancefinance,interet_legitime_B2B_email_public,vsv-asg.ch,yes,Association suisse gestionnaires fortune 2500+ membres
info@alliance-finance.ch,,,Alliance Finance,wealth_management,alliancefinance,interet_legitime_B2B_email_public,alliance-finance.ch,yes,Association GFI/fiduciaires Zollikon
info@asv-aswm.ch,,,Allianz Schweizer Vermoegensverwalter ASV,wealth_management,alliancefinance,interet_legitime_B2B_email_public,asv-aswm.ch,yes,Association alternative gestionnaires fortune
info@access-sfg.ch,,,Access SFG Club GFI,wealth_management,alliancefinance,interet_legitime_B2B_email_public,access-sfg.ch,yes,Club Geneve gestionnaires fortune independants
contact@swissborg.com,,,SwissBorg Wealth Tech,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,swissborg.com,yes,Membre SFTA - autre point de contact
info@aragon.org,,,Aragon,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,aragon.org,yes,DAO infrastructure CH
info@cardano.org,,,Cardano,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,cardano.org,yes,Smart contract platform ZG
info@casper.network,,,Casper Network,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,casper.network,yes,PoS blockchain
info@concordium.com,,,Concordium,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,concordium.com,yes,Regulatory-compliant blockchain
info@cosmos.network,,,Cosmos / Interchain Foundation,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,cosmos.network,yes,Interchain Foundation Swiss non-profit
info@solana.com,,,Solana,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,solana.com,yes,DeFi platform Geneva HQ
info@status.im,,,Status,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,status.im,yes,Decentralized tech stack ZG
info@tezos.com,,,Tezos Foundation,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,tezos.com,yes,PoS blockchain - foundation Crypto Valley
info@4artechnologies.com,,,4ARTechnologies,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,4artechnologies.com,yes,Blockchain art authentication ZH
info@axedras.com,,,Axedras,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,axedras.com,yes,Precious metals blockchain
info@enzyme.finance,,,Enzyme,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,enzyme.finance,yes,Onchain investment platform
info@adcubum.com,,,Adcubum,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,adcubum.com,yes,Insurance core software
info@celsiuspro.com,,,CelsiusPro,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,celsiuspro.com,yes,Climate insurance ZH
info@dgtal.ch,,,DGTAL,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,dgtal.ch,yes,InsurTech SaaS Suisse
info@enterprisebot.com,,,Enterprise Bot,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,enterprisebot.com,yes,AI conversational banking
info@innoveo.com,,,Innoveo,fintech_insurtech,fintechnewsch,interet_legitime_B2B_email_public,innoveo.com,yes,No-code insurance platform
info@leonteq.com,,,Leonteq,fintech_wealth,fintechnewsch,interet_legitime_B2B_email_public,leonteq.com,yes,Structured products tech ZH
info@calvin-risk.com,,,Calvin Risk,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,calvin-risk.com,yes,AI risk top100 startups 2025
info@relai.ch,,,Relai,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,relai.ch,yes,Bitcoin app top100 startups 2025
info@leaseteq.com,,,LeaseTeq,fintech_payments,fintechnewsch,interet_legitime_B2B_email_public,leaseteq.com,yes,Auto leasing digital top100 startups 2025
