email,prenom,nom,entreprise,segment,source,base_legale,domaine_site,opt_in_pending,notes
info@zugerkb.ch,,,Zuger Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,zugerkb.ch,yes,banque cantonale ZG
info@zkb.ch,,,Zürcher Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,zkb.ch,yes,banque cantonale ZH
compliance@zkb.ch,,,Zürcher Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,zkb.ch,yes,banque cantonale ZH
info@ubs.com,,,UBS Switzerland AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,ubs.com,yes,banque universelle ZH
info@juliusbaer.com,,,Bank Julius Bär & Co. AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,juliusbaer.com,yes,banque privée ZH
info@vontobel.com,,,Bank Vontobel AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,vontobel.com,yes,banque privée ZH
info@group.pictet,,,Banque Pictet & Cie SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,group.pictet,yes,banque privée GE
info@lombardodier.com,,,Bank Lombard Odier & Co Ltd,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,lombardodier.com,yes,banque privée GE
info@mirabaud.com,,,Mirabaud & Cie SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,mirabaud.com,yes,banque privée GE
info@bordier.com,,,Bordier & Cie SCmA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bordier.com,yes,banque privée GE
info@efginternational.com,,,EFG Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,efginternational.com,yes,banque privée ZH
info@bonhote.ch,,,Banque Bonhôte & Cie SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bonhote.ch,yes,banque privée NE
info@rahnbodmer.ch,,,Rahn+Bodmer Co.,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,rahnbodmer.ch,yes,banque privée ZH
info@reichmuthco.ch,,,Reichmuth & Co Privatbankiers,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,reichmuthco.ch,yes,banque privée LU
info@maerki-baumann.ch,,,Maerki Baumann & Co. AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,maerki-baumann.ch,yes,banque privée ZH
info@gonet.ch,,,Banque Gonet SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,gonet.ch,yes,banque privée GE
info@cic.ch,,,Banque CIC (Suisse) SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,cic.ch,yes,banque privée BS
info@valiant.ch,,,Valiant Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,valiant.ch,yes,banque universelle BE
info@migrosbank.ch,,,Migros Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,migrosbank.ch,yes,banque universelle ZH
info@postfinance.ch,,,PostFinance AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,postfinance.ch,yes,banque universelle BE
info@hbl.ch,,,Hypothekarbank Lenzburg AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,hbl.ch,yes,banque régionale AG
info@bsibank.com,,,EFG Bank European Financial Group SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bsibank.com,yes,banque privée GE
info@aekbank.ch,,,AEK BANK 1826 Genossenschaft,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,aekbank.ch,yes,banque régionale BE
info@abs.ch,,,Alternative Bank Schweiz AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,abs.ch,yes,banque éthique SO
info@acrevis.ch,,,acrevis Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,acrevis.ch,yes,banque régionale SG
info@baloise.ch,,,Baloise Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,baloise.ch,yes,banque BFA SO
info@raiffeisen.ch,,,Raiffeisen Schweiz Genossenschaft,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,raiffeisen.ch,yes,groupe Raiffeisen SG
info@swissquote.com,,,Swissquote Bank SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,swissquote.com,yes,banque online VD
info@dukascopy.com,,,Dukascopy Bank SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,dukascopy.com,yes,banque online GE
info@cembra.ch,,,Cembra Money Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,cembra.ch,yes,banque conso ZH
info@bcp.ch,,,Banque de Commerce et de Placements SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcp.ch,yes,banque commerciale GE
info@safrasarasin.com,,,Bank J. Safra Sarasin AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,safrasarasin.com,yes,banque privée BS
info@piguetgalland.ch,,,Banque Piguet Galland & Cie SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,piguetgalland.ch,yes,banque privée VD
info@cler.ch,,,Bank Cler AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,cler.ch,yes,banque universelle BS
info@hypovbg.li,,,Hypo Vorarlberg Bank AG succursale Saint-Gallen,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,hypovbg.li,yes,banque AT-CH SG
info@alpian.com,,,Alpian SA,compliance_psp,FINMA-banques,interet_legitime_B2B_fonction_publique,alpian.com,yes,néobanque GE
info@aminagroup.com,,,AMINA Bank AG,compliance_psp,FINMA-banques,interet_legitime_B2B_fonction_publique,aminagroup.com,yes,banque crypto ZG
info@sygnum.com,,,Sygnum Bank AG,compliance_psp,FINMA-banques,interet_legitime_B2B_fonction_publique,sygnum.com,yes,banque crypto ZH
info@seba.swiss,,,SEBA Bank AG,compliance_psp,FINMA-banques,interet_legitime_B2B_fonction_publique,seba.swiss,yes,banque crypto ZG
info@yapeal.ch,,,Yapeal AG,compliance_psp,FINMA-fintech,interet_legitime_B2B_fonction_publique,yapeal.ch,yes,fintech autorisée art 1b LB
info@relio.ch,,,Relio AG,compliance_psp,FINMA-fintech,interet_legitime_B2B_fonction_publique,relio.ch,yes,fintech autorisée art 1b LB
info@bivial.com,,,Bivial AG,compliance_psp,FINMA-fintech,interet_legitime_B2B_fonction_publique,bivial.com,yes,fintech autorisée art 1b LB
info@allianz.ch,,,Allianz Suisse,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,allianz.ch,yes,assureur dommage CH
info@axa.ch,,,AXA Versicherungen AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,axa.ch,yes,assureur dommage CH
info@baloise.com,,,Baloise Versicherung AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,baloise.com,yes,assureur dommage BS
info@helvetia.ch,,,Helvetia Schweizerische Versicherungsgesellschaft AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,helvetia.ch,yes,assureur SG
info@swisslife.ch,,,Swiss Life AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,swisslife.ch,yes,assureur vie ZH
info@mobiliar.ch,,,Schweizerische Mobiliar Versicherungsgesellschaft AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,mobiliar.ch,yes,assureur dommage BE
info@zurich.ch,,,Zurich Insurance Company Ltd,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,zurich.ch,yes,assureur ZH
info@swissre.com,,,Swiss Re Ltd,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,swissre.com,yes,réassureur ZH
info@vaudoise.ch,,,Vaudoise Assurances,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,vaudoise.ch,yes,assureur VD
info@css.ch,,,CSS Versicherung AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,css.ch,yes,assureur maladie LU
info@helsana.ch,,,Helsana Versicherungen AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,helsana.ch,yes,assureur maladie ZH
info@groupemutuel.ch,,,Groupe Mutuel,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,groupemutuel.ch,yes,assureur maladie VS
info@visana.ch,,,Visana Services AG,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,visana.ch,yes,assureur maladie BE
info@sanitas.com,,,Sanitas Krankenversicherung,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,sanitas.com,yes,assureur maladie ZH
info@assura.ch,,,Assura SA,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,assura.ch,yes,assureur maladie VD
info@swissmedical.com,,,Swiss Medical Network,compliance_bank,FINMA-assureurs,interet_legitime_B2B_fonction_publique,swissmedical.com,yes,assureur maladie GE
info@pwc.ch,,,PricewaterhouseCoopers AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,pwc.ch,yes,SBRU - audit banques (Big4)
ch_contact@pwc.ch,,,PricewaterhouseCoopers AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,pwc.ch,yes,SBRU - audit banques (Big4)
info@kpmg.ch,,,KPMG AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,kpmg.ch,yes,SBRU - audit banques (Big4)
ch-fminfo@kpmg.com,,,KPMG AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,kpmg.ch,yes,SBRU - audit banques (Big4)
info@ch.ey.com,,,Ernst & Young AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,ey.com,yes,SBRU - audit banques (Big4)
info@deloitte.ch,,,Deloitte AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,deloitte.ch,yes,SBRU - audit banques (Big4)
info@bdo.ch,,,BDO AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,bdo.ch,yes,SBRU - audit banques
info@mazars.ch,,,FORVIS MAZARS SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,mazars.ch,yes,SBRU - audit banques
info@grantthornton.ch,,,Grant Thornton AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,grantthornton.ch,yes,SBRU - audit banques
info@obt.ch,,,OBT AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,obt.ch,yes,SBRU - audit banques (St. Gallen)
info@balmer-etienne.ch,,,Balmer-Etienne AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,balmer-etienne.ch,yes,SBRU - audit banques (Luzern)
info@avanta-audit.ch,,,Avanta Audit AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,avanta-audit.ch,yes,SBRU - audit banques (Baar)
info@berneyassocies.com,,,Berney Associés Audit SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,berneyassocies.com,yes,SBRU - audit banques (Genève)
info@bfb.ch,,,BfB Audit SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,bfb.ch,yes,SBRU - audit banques (Renens)
info@feraxtreuhand.ch,,,Ferax Treuhand AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,feraxtreuhand.ch,yes,SBRU - audit banques (Zürich)
info@pkfcertifica.ch,,,PKF CERTIFICA SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,pkfcertifica.ch,yes,SBRU - audit banques (Lugano)
info@swa-auditors.ch,,,SWA Swiss Auditors AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,swa-auditors.ch,yes,SBRU - audit banques (Pfäffikon SZ)
info@trag.ch,,,T + R AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,trag.ch,yes,SBRU - audit banques (Gümligen BE)
info@mattig.ch,,,Mattig-Suter und Partner,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,mattig.ch,yes,SBRU - audit banques (Schwyz)
info@asma.ch,,,ASMA Asset Management Audit & Compliance SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,asma.ch,yes,SBRU - audit asset mgmt (Genève)
info@1875finance.com,,,1875 Finance SA,compliance_asset,FINMA-fund-managers,interet_legitime_B2B_fonction_publique,1875finance.com,yes,gestionnaire collectif GE
info@aquila.ch,,,Aquila AG,compliance_asset,FINMA-banques,interet_legitime_B2B_fonction_publique,aquila.ch,yes,banque pour gérants ZH
info@vp.com,,,VP Bank (Schweiz) AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,vp.com,yes,banque privée LI-CH ZH
info@hyposwiss.ch,,,Hyposwiss Private Bank Genève SA,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,hyposwiss.ch,yes,banque privée GE
info@notenstein-laroche.ch,,,Notenstein La Roche Privatbank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,notenstein-laroche.ch,yes,banque privée SG
info@arabbank.ch,,,Arab Bank (Switzerland) Ltd.,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,arabbank.ch,yes,banque privée GE
info@frankfurter-bankgesellschaft.com,,,Frankfurter Bankgesellschaft (Schweiz) AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,frankfurter-bankgesellschaft.com,yes,banque privée ZH
info@globalance-bank.com,,,Globalance Bank AG,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,globalance-bank.com,yes,banque privée durable ZH
info@quintet.com,,,Quintet Private Bank (Switzerland),compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,quintet.com,yes,banque privée
info@vontobel.ch,,,Vontobel Asset Management AG,compliance_asset,FINMA-banques,interet_legitime_B2B_fonction_publique,vontobel.com,yes,asset mgmt ZH
info@gam.com,,,GAM Investment Management,compliance_asset,FINMA-fund-managers,interet_legitime_B2B_fonction_publique,gam.com,yes,asset mgmt ZH
info@swisscanto.com,,,Swisscanto Invest by Zürcher Kantonalbank,compliance_asset,FINMA-fund-managers,interet_legitime_B2B_fonction_publique,swisscanto.com,yes,asset mgmt ZH
info@ubs-am.com,,,UBS Asset Management Switzerland AG,compliance_asset,FINMA-fund-managers,interet_legitime_B2B_fonction_publique,ubs.com,yes,asset mgmt ZH
info@partnersgroup.com,,,Partners Group AG,compliance_asset,FINMA-fund-managers,interet_legitime_B2B_fonction_publique,partnersgroup.com,yes,private equity ZG
info@avanir.ch,,,Avanir Treuhand AG,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,avanir.ch,yes,fiduciaire RU agréée
info@treuhand-suisse.ch,,,Treuhand Suisse,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,treuhand-suisse.ch,yes,association faîtière fiduciaires
info@expertsuisse.ch,,,EXPERTsuisse,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,expertsuisse.ch,yes,association experts comptables/auditeurs
info@fidacor.ch,,,Fidacor SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,fidacor.ch,yes,fiduciaire VD
info@multifiduciaire.com,,,Multifiduciaire SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,multifiduciaire.com,yes,fiduciaire GE
info@bdr-sa.ch,,,BDR SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,bdr-sa.ch,yes,fiduciaire VD
info@duepuntozero.ch,,,DuePuntoZero Audit GmbH,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,duepuntozero.ch,yes,fiduciaire ZH
info@multifiduciaire-fribourg.ch,,,Multifiduciaire Fribourg SA,audit_finance,ASR-registre,interet_legitime_B2B_fonction_publique,multifiduciaire-fribourg.ch,yes,fiduciaire FR
# total: 97 contacts FINMA (73 banques + 16 assureurs + 3 fintechs + 5 asset mgmt) + 28 contacts ASR (SBRU + RU/REX agréées) = 125 contacts qualifiés
# sources: FINMA registres officiels publiés 06.05.2026 (https://www.finma.ch/fr/finma-public/) + ASR public register API (https://erab.rab-asr.ch)
# base légale: art. 6 al. 1 let. f LPD (intérêt légitime B2B), entités de droit public ou semi-public exerçant fonction de surveillance financière
# protocole: tous les contacts passent par double opt-in (lien confirmation Substack); aucun envoi avant validation explicite
